marker	staining_index	snr	pct_positive	dynamic_range	bimodal	background	antibody_failed	status
CD45	100.25224126570411	18.805067772208083	0.88683	2840849304199.2153	1.0	6.62294864654541	False	pass
CD3E	758.0811182905975	71.3170449397414	0.82196	15718646865234.371	0.0	4.166666507720947	False	pass
Ki67	8.1200787795638	3.683544843626571	0.89974	148.7908987751871	0.0	28.61693572998047	False	pass
CD8a	213.47255018581257	45.81069741330773	0.89492	21341.786757119382	1.0	8.385640144348145	False	pass
VIM	19.9385037772679	7.364060300937578	0.89889	1009.0867634994465	1.0	151.7564239501953	False	pass
CD68	4.977847443917989	1.9813109887011642	0.89265	6149.847630518705	0.0	71.15021514892578	False	warn
HLADR	19.957018494651862	2.6949003804441847	0.89963	132.62979940479832	0.0	82.05352783203125	False	pass
CD31	215.9086735893418	4.010220048806658	0.85631	4271739370117.1436	1.0	2.0	False	pass
ACTA2	9.6093492107717	2.4363871318690573	0.89766	311.61008335707095	1.0	100.07183074951172	False	pass
CD20	5.637804445836213	1.2163653438645083	0.89926	93.14573037720406	0.0	113.85623931884766	True	fail
CD163	155.02333280885549	13.49313116039466	0.89693	17080.22584308775	1.0	8.537176132202148	False	pass
CD44	10.895651843580731	4.942625087669393	0.89999	766.1885285264441	0.0	399.64764404296875	False	pass
PANCK	6.406046410469967	1.9152541663741085	0.89741	1514.5382560283213	0.0	100.31954193115234	False	warn
CD38	7.872329572037717	1.4100507239516955	0.88996	7314238276367.17	0.0	90.86872863769531	True	fail
CD11c	34.48912369417496	2.8159665049283893	0.84862	509796930541.9915	1.0	1.9158563613891602	False	pass
PDGFRA	1.4576644974041892	1.5114317653918907	0.89532	70.90240046057687	0.0	74.71781158447266	False	warn
COL1A1	16.545165712200895	4.395710950394211	0.90053	138.55489520330664	0.0	328.3622131347656	True	fail
CD14	224.14506853255028	34.47881750187582	0.88755	6859192958984.346	1.0	4.018355369567871	False	pass
EPCAM	4.192586513122613	2.86660673736349	0.89133	95247.89620630023	0.0	20.922883987426758	False	pass
CD56	4.0571595271766006	2.0803109546622984	0.88728	785120676269.5302	0.0	61.00773620605469	False	pass
CD45RO	53.567051184983846	6.217529367587708	0.88204	672287153320.3105	1.0	2.966809034347534	False	pass
