marker	staining_index	snr	pct_positive	antibody_failed	status
CD45	100.25224126570411	18.805067772208083	0.88683	False	pass
CD3E	758.0811182905975	71.3170449397414	0.82196	False	pass
Ki67	8.1200787795638	3.683544843626571	0.89974	False	pass
CD8a	213.47255018581257	45.81069741330773	0.89492	False	pass
VIM	19.9385037772679	7.364060300937578	0.89889	False	pass
CD68	4.977847443917989	1.9813109887011642	0.89265	False	warn
HLADR	19.957018494651862	2.6949003804441847	0.89963	False	pass
CD31	215.9086735893418	4.010220048806658	0.85631	False	pass
ACTA2	9.6093492107717	2.4363871318690573	0.89766	False	pass
CD20	5.637804445836213	1.2163653438645083	0.89926	True	fail
CD163	155.02333280885549	13.49313116039466	0.89693	False	pass
CD44	10.895651843580731	4.942625087669393	0.89999	False	pass
PANCK	6.406046410469967	1.9152541663741085	0.89741	False	warn
CD38	7.872329572037717	1.4100507239516955	0.88996	True	fail
CD11c	34.48912369417496	2.8159665049283893	0.84862	False	pass
PDGFRA	1.4576644974041892	1.5114317653918907	0.89532	False	warn
COL1A1	16.545165712200895	4.395710950394211	0.90053	True	fail
CD14	224.14506853255028	34.47881750187582	0.88755	False	pass
EPCAM	4.192586513122613	2.86660673736349	0.89133	False	pass
CD56	4.0571595271766006	2.0803109546622984	0.88728	False	pass
CD45RO	53.567051184983846	6.217529367587708	0.88204	False	pass
